participant_id,group,team_performance,pre_performance,post_performance
1,control,69.39524353447787,73.03711586207906,NA
2,control,72.6982251051672,65.98141237512559,NA
3,control,90.58708314149123,67.33434093064464,NA
4,control,75.70508391424576,61.85139693514329,NA
5,control,76.29287735160946,61.425670188195376,NA
6,control,92.15064986883282,72.42822913123406,NA
7,control,79.60916205989203,73.58567822903541,NA
8,control,62.349387653934656,70.42403381384403,NA
9,control,68.13147148106474,77.3781397430379,NA
10,control,70.54338029900042,86.40067748501716,NA
11,control,87.24081797439462,66.07175067154772,NA
12,control,78.59813827057364,51.5266489948735,NA
13,control,79.00771450594053,78.04590819569805,NA
14,control,76.1068271594512,64.32639389934086,NA
15,control,69.44158865245925,64.49593106826114,NA
16,control,92.86913136803078,78.2045709575736,NA
17,control,79.97850478229239,67.72181594359193,NA
18,control,55.333828433703616,60.23425830196371,NA
19,control,82.01355901563686,71.4504278379932,NA
20,control,70.27208592272066,68.88886910048764,NA
21,control,64.32176294013155,70.0461134871991,NA
22,control,72.82025085341705,73.08224320901064,NA
23,control,64.73995551692761,67.03471974566072,NA
24,control,67.7110877070886,75.15501238815067,NA
25,control,68.74960732150743,68.23610750545,NA
26,control,58.13306689257587,72.65425571132558,NA
27,control,83.37787044494524,78.77471210519478,NA
28,control,76.53373117836516,73.48145192667042,NA
29,control,63.61863062988053,67.39254731575019,NA
30,control,87.53814921069926,79.19046094760876,NA
31,training,86.26464221476813,77.94803084769696,86.26464221476813
32,training,79.04928517007728,74.38717567606456,79.04928517007728
33,training,90.95125661045023,71.90985388089153,90.95125661045023
34,training,90.78133487533043,64.97675139168503,90.78133487533043
35,training,90.21581081637487,80.88521958824006,90.21581081637487
36,training,88.8864025410009,65.19792330282299,88.8864025410009
37,training,87.53917653537589,87.49866394413262,87.53917653537589
38,training,81.38088289423278,82.26088500948151,81.38088289423278
39,training,78.94037336260084,68.11439712719618,78.94037336260084
40,training,78.19528998987617,61.78863279754575,78.19528998987617
41,training,75.05293021079487,64.31674749040559,75.05293021079487
42,training,79.92082721980401,72.05506967325223,79.92082721980401
43,training,69.34603648431735,68.02646497230101,69.34603648431735
44,training,103.68955965338512,67.21965920481813,103.68955965338512
45,training,94.07961998304991,62.38705146187988,94.07961998304991
46,training,70.76891416796651,69.63977820152864,70.76891416796651
47,training,77.97115164700924,63.72076424434339,77.97115164700924
48,training,77.33344646376781,56.656464507294906,77.33344646376781
49,training,89.79965118336318,66.9581878376979,89.79965118336318
50,training,81.16630933528171,77.35197287248613,81.16630933528171
51,training,84.53318513994755,65.39722429913286,84.53318513994755
52,training,81.71453244651298,74.86371457780027,81.71453244651298
53,training,81.57129542708684,57.05693833368669,81.57129542708684
54,training,95.68602284014457,69.55550427580368,95.68602284014457
55,training,79.74229014340733,74.1552576315477,79.74229014340733
56,training,97.1647060442954,72.40922689733371,97.1647060442954
57,training,66.51247195769778,70.84540955319154,66.51247195769778
58,training,87.8461374963607,64.874351933557,87.8461374963607
59,training,83.23854243844613,63.20236523173134,83.23854243844613
60,training,84.15941568743973,61.806969675160694,84.15941568743973
